embedding_run_id,article_embedding_run_id,model_id,chunking_method,chunking_strategy,min_chunks_per_article,num_articles,mean_num_chunks,mean_total_chunk_length,mean_cosine_similarity,median_cosine_similarity,mean_representation_degradation,median_representation_degradation
m3_paragraph,m3_noop,BAAI/bge-m3,paragraph,paragraph,5,52716,12.409799681311178,3407.7239547765384,0.8402935764048131,0.8475878238677979,0.159706423595187,0.15241217613220215
m3_recursive_1000,m3_noop,BAAI/bge-m3,split,split,5,21940,8.25865998176846,5938.291431175934,0.8299939594707819,0.837183952331543,0.17000604052921806,0.16281604766845703
m3_recursive_1000_0,m3_noop,BAAI/bge-m3,split,split,5,21706,8.227863263613747,5817.9210356583435,0.830739537771425,0.83786541223526,0.16926046222857502,0.16213458776474
m3_recursive_400,m3_noop,BAAI/bge-m3,split,split,5,55139,12.681024320354014,3801.389597199804,0.8340704851522027,0.8433292508125305,0.1659295148477973,0.15667074918746948
m3_recursive_400_0,m3_noop,BAAI/bge-m3,split,split,5,54175,12.393022611905861,3538.7016335948315,0.8363048368827175,0.8455129265785217,0.16369516311728244,0.15448707342147827
m3_sentence,m3_noop,BAAI/bge-m3,sentence,sentence,5,88519,29.774907082095368,2470.1606999627197,0.7872545362053504,0.7911303043365479,0.21274546379464968,0.20886969566345215
m3_sentence_4,m3_noop,BAAI/bge-m3,sentence,sentence,5,59048,13.352950142257146,4304.441285056226,0.8398869894954704,0.8493822515010834,0.1601130105045297,0.15061774849891663
m3_sentence_4_0,m3_noop,BAAI/bge-m3,sentence,sentence,5,50803,11.414837706434659,3613.778123339173,0.8365061082427075,0.8452867269515991,0.16349389175729245,0.15471327304840088
m3_token_128,m3_noop,BAAI/bge-m3,token,token_window_128_overlap_16,5,49218,11.5730830184079,4310.228778089317,0.8319551519623591,0.8412125110626221,0.16804484803764091,0.15878748893737793
m3_token_128_0,m3_noop,BAAI/bge-m3,token,token_window_128,5,45426,10.815480121516313,3989.898890503236,0.8308192323474248,0.8395738005638123,0.16918076765257517,0.16042619943618774
m3_token_256_0,m3_noop,BAAI/bge-m3,token,token_window_256,5,22321,8.05438824425429,5801.867658259039,0.8279058749485302,0.8354154825210571,0.1720941250514698,0.16458451747894287
m3_token_256_128,m3_noop,BAAI/bge-m3,token,token_window_256_overlap_128,5,37455,11.053237217994928,8347.953490855694,0.8457235253679944,0.8540965914726257,0.1542764746320055,0.14590340852737427
m3_token_256_192,m3_noop,BAAI/bge-m3,token,token_window_256_overlap_192,5,50581,16.772424428144955,12887.706549890276,0.8591153202304631,0.8706459999084473,0.14088467976953684,0.12935400009155273
m3_token_256_32,m3_noop,BAAI/bge-m3,token,token_window_256_overlap_32,5,25322,8.483334649711713,6188.837256140905,0.8283786332472628,0.8360207080841064,0.1716213667527372,0.16397929191589355
m3_token_256_64,m3_noop,BAAI/bge-m3,token,token_window_256_overlap_64,5,28721,9.062010375683299,6693.768392465443,0.8315796118286309,0.8394002914428711,0.1684203881713691,0.1605997085571289
m3_token_32,m3_noop,BAAI/bge-m3,token,token_window_32,5,90191,26.011863711456797,2484.378740672573,0.7723031397004152,0.7786313891410828,0.2276968602995848,0.22136861085891724
