embedding_run_id,article_embedding_run_id,model_id,chunking_method,chunking_strategy,min_chunks_per_article,num_articles,mean_num_chunks,mean_total_chunk_length,mean_cosine_similarity,median_cosine_similarity,mean_representation_degradation,median_representation_degradation
gemma_paragraph,gemma_noop,google/embeddinggemma-300m,paragraph,paragraph,5,52716,12.409799681311178,3407.7239547765384,0.8793514839492462,0.8893949091434479,0.12064851605075382,0.11060509085655212
gemma_recursive_1000,gemma_noop,google/embeddinggemma-300m,split,split,5,21940,8.25865998176846,5938.291431175934,0.9247918683149212,0.9293345212936401,0.07520813168507874,0.07066547870635986
gemma_recursive_1000_0,gemma_noop,google/embeddinggemma-300m,split,split,5,21706,8.227863263613747,5817.9210356583435,0.9254007759560399,0.929974228143692,0.0745992240439601,0.07002577185630798
gemma_recursive_400,gemma_noop,google/embeddinggemma-300m,split,split,5,55139,12.681024320354014,3801.389597199804,0.8833983760516206,0.8863442540168762,0.11660162394837938,0.11365574598312378
gemma_recursive_400_0,gemma_noop,google/embeddinggemma-300m,split,split,5,54175,12.393022611905861,3538.7016335948315,0.8858721182805137,0.8888458609580994,0.11412788171948625,0.11115413904190063
gemma_sentence,gemma_noop,google/embeddinggemma-300m,sentence,sentence,5,88519,29.774907082095368,2470.1606999627197,0.753924727159765,0.7547926902770996,0.246075272840235,0.2452073097229004
gemma_sentence_4,gemma_noop,google/embeddinggemma-300m,sentence,sentence,5,59048,13.352950142257146,4304.441285056226,0.8820504398223847,0.8863590657711029,0.1179495601776153,0.1136409342288971
gemma_sentence_4_0,gemma_noop,google/embeddinggemma-300m,sentence,sentence,5,50803,11.414837706434659,3613.778123339173,0.8840454074467453,0.8882325887680054,0.11595459255325469,0.11176741123199463
gemma_token_128,gemma_noop,google/embeddinggemma-300m,token,token_window_128_overlap_16,5,49218,11.5730830184079,4310.228778089317,0.8907618932215559,0.8935909569263458,0.10923810677844413,0.10640904307365417
gemma_token_128_0,gemma_noop,google/embeddinggemma-300m,token,token_window_128,5,45426,10.815480121516313,3989.898890503236,0.8923219665127219,0.8952624201774597,0.10767803348727813,0.10473757982254028
gemma_token_256_0,gemma_noop,google/embeddinggemma-300m,token,token_window_256,5,22321,8.05438824425429,5801.867658259039,0.9231528951635626,0.9276705980300903,0.07684710483643739,0.07232940196990967
gemma_token_256_128,gemma_noop,google/embeddinggemma-300m,token,token_window_256_overlap_128,5,37455,11.053237217994928,8347.953490855694,0.922103181949621,0.9259077310562134,0.07789681805037892,0.07409226894378662
gemma_token_256_192,gemma_noop,google/embeddinggemma-300m,token,token_window_256_overlap_192,5,50581,16.772424428144955,12887.706549890276,0.9180298409523063,0.921916127204895,0.08197015904769367,0.07808387279510498
gemma_token_256_32,gemma_noop,google/embeddinggemma-300m,token,token_window_256_overlap_32,5,25322,8.483334649711713,6188.837256140905,0.9213560792038522,0.9255718886852264,0.0786439207961478,0.07442811131477356
gemma_token_256_64,gemma_noop,google/embeddinggemma-300m,token,token_window_256_overlap_64,5,28721,9.062010375683299,6693.768392465443,0.9203616356161501,0.9242238402366638,0.07963836438384986,0.07577615976333618
gemma_token_32,gemma_noop,google/embeddinggemma-300m,token,token_window_32,5,90191,26.011863711456797,2484.378740672573,0.7268491527501707,0.7248895168304443,0.27315084724982935,0.27511048316955566
