embedding_run_id,article_embedding_run_id,model_id,chunking_method,chunking_strategy,min_chunks_per_article,num_articles,mean_num_chunks,mean_total_chunk_length,mean_cosine_similarity,median_cosine_similarity,mean_representation_degradation,median_representation_degradation
slovlo_paragraph,slovlo_noop,rokn/slovlo-v1,paragraph,paragraph,5,52716,12.409799681311178,3407.7239547765384,0.910540928165127,0.9136422574520111,0.08945907183487306,0.08635774254798889
slovlo_recursive_1000,slovlo_noop,rokn/slovlo-v1,split,split,5,21940,8.25865998176846,5938.291431175934,0.9176798647576935,0.9214088916778564,0.08232013524230654,0.07859110832214355
slovlo_recursive_1000_0,slovlo_noop,rokn/slovlo-v1,split,split,5,21706,8.227863263613747,5817.9210356583435,0.9179399530728116,0.921698123216629,0.08206004692718838,0.07830187678337097
slovlo_recursive_400,slovlo_noop,rokn/slovlo-v1,split,split,5,55139,12.681024320354014,3801.389597199804,0.9099051208003941,0.9132223129272461,0.09009487919960589,0.0867776870727539
slovlo_recursive_400_0,slovlo_noop,rokn/slovlo-v1,split,split,5,54175,12.393022611905861,3538.7016335948315,0.9102379413612658,0.9134456515312195,0.08976205863873421,0.08655434846878052
slovlo_sentence,slovlo_noop,rokn/slovlo-v1,sentence,sentence,5,88519,29.774907082095368,2470.1606999627197,0.8684535643261982,0.8679518103599548,0.13154643567380173,0.13204818964004517
slovlo_sentence_4,slovlo_noop,rokn/slovlo-v1,sentence,sentence,5,59048,13.352950142257146,4304.441285056226,0.9142562053595967,0.9180324375629425,0.08574379464040328,0.0819675624370575
slovlo_sentence_4_0,slovlo_noop,rokn/slovlo-v1,sentence,sentence,5,50803,11.414837706434659,3613.778123339173,0.9115085080730899,0.9153138995170593,0.08849149192691007,0.08468610048294067
slovlo_token_128,slovlo_noop,rokn/slovlo-v1,token,token_window_128_overlap_16,5,49218,11.5730830184079,4310.228778089317,0.9105715789056773,0.9142655730247498,0.08942842109432272,0.08573442697525024
slovlo_token_128_0,slovlo_noop,rokn/slovlo-v1,token,token_window_128,5,45426,10.815480121516313,3989.898890503236,0.9092517281331249,0.9128984808921814,0.09074827186687512,0.0871015191078186
slovlo_token_256_0,slovlo_noop,rokn/slovlo-v1,token,token_window_256,5,22321,8.05438824425429,5801.867658259039,0.9155203101081791,0.9191439151763916,0.08447968989182082,0.0808560848236084
slovlo_token_256_128,slovlo_noop,rokn/slovlo-v1,token,token_window_256_overlap_128,5,37455,11.053237217994928,8347.953490855694,0.9255618955945478,0.9302156567573547,0.07443810440545215,0.06978434324264526
slovlo_token_256_192,slovlo_noop,rokn/slovlo-v1,token,token_window_256_overlap_192,5,50581,16.772424428144955,12887.706549890276,0.9334984037418486,0.9396337866783142,0.06650159625815143,0.06036621332168579
slovlo_token_256_32,slovlo_noop,rokn/slovlo-v1,token,token_window_256_overlap_32,5,25322,8.483334649711713,6188.837256140905,0.9155805881681925,0.9192175567150116,0.0844194118318075,0.0807824432849884
slovlo_token_256_64,slovlo_noop,rokn/slovlo-v1,token,token_window_256_overlap_64,5,28721,9.062010375683299,6693.768392465443,0.9173650568559523,0.9213082194328308,0.08263494314404775,0.07869178056716919
slovlo_token_32,slovlo_noop,rokn/slovlo-v1,token,token_window_32,5,90191,26.011863711456797,2484.378740672573,0.8474922619827032,0.8477133512496948,0.15250773801729678,0.15228664875030518
